A,Spur1_shortcut,B,Spur2_shortcut,C,label,split
0.379668974885706,-0.2331165416293613,2.2726567828964965,1.8506231395993185,1.700457353495401,1,train
-1.8875993871702208,-1.520555914989084,-1.3149434879597413,-1.2632886098063336,-2.6383653352545555,0,train
-0.04415799397832963,-0.14736489879893677,-0.36693499680212927,-0.14437738301025133,-1.4456963714046136,0,train
1.7791259827385877,1.5600040849118904,2.345603241971136,2.2115013461512287,2.8485060349611273,1,train
-1.5034280274071288,-1.6394565503604759,-2.8635639578324774,-2.726369214026493,-4.920423703501607,0,train
0.5992562426037874,0.3854117960802458,2.774787340221126,2.4039022221834334,2.7629805810623607,1,train
-0.5919894510547291,-0.5908590630994768,-1.692236937058055,-0.9355124223092063,-3.7940477045331473,0,train
1.5873911897579949,0.7316506138380351,0.2514072954826605,0.11830707679068939,-0.8493090650377182,0,train
-0.44363893198777016,0.4912530349168136,-0.8410657684892866,0.03148011170240017,0.2335078734801035,1,train
-0.6072768001673243,-0.6167480002937159,-1.5184525448748678,-0.9542584678922242,-0.6329504504742542,1,train
1.7068373071327672,1.7028288934897913,0.7360304111670692,0.3079078894367723,0.5627119397639724,1,train
1.3185384537507001,0.6713018720523084,1.680908707937433,1.4470708824278553,2.8046550601792384,1,train
-0.33325095444910396,-0.4162551971908436,-2.5739490639169396,-2.4863428439429947,-1.9855030165231151,0,train
-1.994500989541723,-2.6327045415453147,-2.7730249859545335,-2.5514256166423643,-6.33548896378228,0,train
-1.6621988296934957,-1.451048883663189,-1.6805290241447592,-1.2825437091758025,-1.0881933063063691,0,train
0.4785139918394023,0.02895982364030969,-0.4099493656287514,-0.12954955113783068,-0.7539328091781707,1,train
0.4997344351567777,-0.19918169093413612,1.52069260570715,1.1962822126337163,2.5093062150201337,1,train
-1.432252801173813,-1.2420916438006808,-2.678398768450897,-2.085162048684793,-2.9898775659637487,0,train
1.2907856752429656,0.8159402886542918,2.0667915464024658,2.243556297721417,2.9074073465396664,1,train
0.5684048282957185,0.7534804279528395,1.745609341761185,0.6240674615654394,2.7813557246803713,1,train
-0.5111503983899572,-0.3710818502016945,-1.512928336685117,-0.7175253363320483,-2.7743851250910443,0,train
