A,B,C,label,split
4.69371973029553,2.8324736360712044,6.889796788592735,0,train
8.572312460192503,7.17018637924929,0.7753628698432546,1,train
6.859264730861326,2.500053714867427,8.93824921962623,1,train
0.8836763411712438,1.5244272870796651,5.8910904364171905,0,train
9.425854744698563,11.505460713559811,4.937462778607157,1,train
5.019488739067382,2.4880656625287676,2.7489419074484553,0,train
7.6277959097082295,2.1502273229475137,3.752015438274673,0,train
8.59234823168701,11.33588171170125,0.2762148771857267,1,train
6.395049208663305,3.415606581003529,1.9384333453245457,1,train
8.115874515928308,1.5050477969928489,3.994512855891826,0,train
5.749421305206146,7.057982386945563,3.136696330224958,1,train
9.520963379208688,1.8219909431891999,7.564445247396301,1,train
3.3705299312361605,10.736129385030205,7.325165347218281,1,train
4.190439830520519,8.576848284068085,3.8499747627448935,1,train
8.64616328232468,2.2667439318430045,9.257577141934968,0,train
9.818106190822695,4.7888914415444255,2.2416867943377365,1,train
4.057827834721342,3.308696682282169,8.374635568012284,0,train
8.746434819533462,0.8549265313805383,8.358039939231581,0,train
2.4323642122519606,7.392461276944399,-0.28453498900750773,1,train
5.487295226528547,6.558467372572008,3.9253015840309575,0,train
3.275085250416525,7.710555493980545,8.437054371200361,0,train
2.0552921394774875,5.858700887837025,6.064158310258617,0,train
2.655518140802196,2.8074137662281204,3.5701245195082043,0,train
3.7510758236509543,5.521054464243521,6.227568235753722,0,train
2.8591524087246114,2.743893692690877,1.5433905791744247,0,train
3.765453550984103,3.343568915801428,0.965115248035536,0,train
9.249010335398234,4.9637735656429545,0.7726698958810894,1,train
8.805923985873285,3.0477145224470625,4.83286549988537,1,train
2.172605749809891,5.985603417546799,5.996433021317022,1,train
2.2229703313276445,7.736233263664064,3.2518015897388763,0,train
3.0586930741661074,4.67422243687641,7.710937258849945,0,train
2.8005393924602004,1.7331359445711187,6.498755353040438,0,train
6.599603755889819,6.705174769382165,2.3428738884522615,1,train
6.9232232882168425,9.033290372913006,6.524970418675041,1,train
0.7078393124398676,7.694232501364569,7.311465054427072,0,train
10.414761115016518,7.814359858331505,4.906754020298671,1,train
8.818943624518516,9.398733922952225,1.7140082094748865,1,train
6.005925321238989,1.7403855929464809,3.8515644518078647,0,train
9.100677041012073,5.626167953975214,2.5499078100577557,0,train
1.9788190998173874,5.219212396002676,0.5204535785838824,0,train
7.114470676653683,10.820022683578028,5.189592993119649,1,train
6.5344200321224,-0.6588353501811113,6.09960515412826,0,train
5.445542722860676,9.505404192941995,4.11282381626692,1,train
7.228961292066996,6.143815526393966,7.265604864620104,1,train
9.94230580163211,7.8195239960361445,1.2702622580507876,0,train
1.1719540447030092,5.216513728360095,0.43044594526346214,1,train
2.668960046639164,8.762243054730487,1.3464864601979902,0,train
3.7831177422193094,6.807736013218965,7.2556214590039705,1,train
8.339393832951815,7.993802110601944,5.841056344592634,1,train
1.72584917744434,6.213866290991557,-1.0175618865176528,0,train
4.290095996883107,10.277699076211933,7.117117415484161,1,train
2.9626134608181927,2.4983808831258774,6.898733405825229,0,train
7.242308589926355,6.725152090763387,9.029256642134008,1,train
2.4349725224318974,5.187277225903195,4.713276250003697,0,train
0.2246870173339215,6.356190790952811,7.0976964689480235,0,train
4.84705251140303,3.6851084517841937,1.6875945205637504,0,train
9.366598841333051,4.047945198673075,5.945529484490951,1,train
7.510640367300605,1.1755387797657242,5.8424939916247025,0,train
4.887886842652043,-0.505448803404396,8.378722484595091,0,train
8.800848515780443,2.75066212259331,11.224939074411136,1,train
8.141529284871893,6.369164683904722,5.377359000028711,1,train
1.5487818037995056,8.296507462971173,8.035141651406196,0,train
5.455832989738294,-1.0201301031234424,9.957201102764245,0,train
9.081300872608798,1.1445522436931181,4.928656750455467,1,train
9.941108039186178,2.459605865229269,10.172891019406862,1,train
11.223364020361636,6.7827818793245145,9.533651764248566,1,train
3.1715245365637785,1.1430518605711242,7.245835649037225,0,train
6.215640827949312,11.29958666188333,7.1430427512267345,1,train
9.013313080731963,7.892519562658393,3.8834004636528583,1,train
7.527631704969175,7.794307228277397,6.500323702185428,1,train
9.923544753823705,4.655669657625928,1.167674934893161,1,train
9.881283482904685,5.348688990328868,4.669706680311831,1,train
1.3022751233878285,5.374407114613838,3.8153898670896105,0,train
-0.047223099623137754,10.677114324931601,5.43025555868461,0,train
0.3746956385430005,3.133442036951937,8.973177162253354,0,train
1.8012344946789514,7.791775156250308,3.2031501304287033,0,train
0.75767973896871,3.7657292085455754,1.1418036906626674,0,train
0.5892953157740478,-0.025364835631105143,4.566541630129931,0,train
3.7416304356246393,9.930583942458469,6.351015418142052,1,train
8.031457447326694,5.860013891615965,6.195827893873805,1,train
4.335171060493737,1.4351490360503276,5.378038935224231,0,train
6.213817935364197,4.3191007470925395,4.7962032812455835,0,train
6.8798751424711915,0.6142305228997649,5.2966818382401675,0,train
5.554178228235775,5.014210218468111,4.604559993269929,1,train
3.581781274151545,0.8904601240005694,3.676608429925372,0,train
0.651689604174936,1.7112925484377586,5.705272187026347,0,train
7.872377880317922,3.9308474540227714,6.901018030373434,1,train
5.719460871860897,10.10615613079841,1.932684275785388,1,train
2.244030903437931,1.1575504792750464,5.17296117104683,0,train
9.294545299899125,9.366468350613864,2.598697085246545,1,train
7.980905703737023,4.563305245126046,1.8890200809138382,1,train
5.405090703919899,6.057070300676204,2.169372402716619,1,train
7.227366124813495,7.446061814376729,8.449621769385395,1,train
3.684855790291928,12.270847907067388,7.988063831137312,1,train
2.920495035258833,6.5645168607558455,4.518742345520961,0,train
6.558020138512485,6.388095815163077,0.3345924465364778,1,train
5.438357604351192,5.939709500503921,4.175472165364224,0,train
5.146849181784316,5.729584045204996,10.597593511423973,1,train
7.613832641227942,3.2061010013751163,9.123200423400254,1,train
5.495407111746294,8.005546370652114,4.731369499244864,1,train
3.4467382690897095,6.740425028011023,3.2293330063699908,1,train
7.548651728651301,1.0929968616936014,-3.089212449523745,0,train
5.701544272071304,8.807702462873571,4.592071434762747,1,train
5.292293915880752,6.077914522062192,8.486194546591829,0,train
7.19633889543484,5.660888154455435,8.590705587785312,1,train
5.072356653777656,8.276340748310208,5.413718694297197,1,train
10.324038482885344,7.131159237155245,2.313259071181124,1,train
5.682773672474969,2.5045301070488204,-0.943881932408444,0,train
11.329367802175586,8.947212254832985,0.6205230933276054,1,train
2.7808519539764505,8.443315998393787,4.626362073634661,0,train
4.482708384360514,9.955661585407249,8.282988647134749,1,train
3.15803561152383,10.181739841727689,6.071233216827433,0,train
8.941769100637018,7.776813386899778,4.591216386189715,1,train
4.876842857182792,5.674494084371326,4.554697181666316,0,train
4.9258070277907136,1.9203235418574514,8.34053047099072,0,train
9.169652353410813,5.847615923319097,6.975688554731346,1,train
5.860253590739271,3.496144763670238,8.455576539911245,0,train
0.48336698265545164,7.279633445983241,5.9117126585174375,0,train
3.5934402758222608,-1.025570157910721,3.946290299608943,0,train
5.416456570421196,3.5300909874275312,9.871447015662786,1,train
3.0376727897630653,2.582825562964325,3.852235618704666,0,train
-1.314124852124047,12.022751141194197,8.873371754124511,0,train
8.246241976075423,6.257387744071161,7.2821709502330565,1,train
3.8758041769580016,7.2838340756190725,9.726814459372562,0,train
5.770377031966195,4.744278930993402,2.6249145535132006,0,train
5.672171311079562,1.4182953067418316,3.961371447571341,0,train
8.192188966303327,2.308566957400013,6.090595671993386,1,train
9.502885771798784,8.292093611946779,5.161807091649994,1,train
4.799227998002011,4.802215674442605,5.7594047179046175,0,train
0.7152488226689118,3.4609141797431917,2.9229114425508715,0,train
10.070871895577888,4.7004031699906275,2.7429573109737606,0,train
7.589190985836777,8.438570801480152,1.7841092713671174,1,train
1.7587404093894028,8.632855684123673,2.0609467514146447,0,train
2.5275216695313922,2.916067986082213,8.510276007189173,0,train
8.336404090351293,5.589957656142714,9.90997722079738,1,train
4.360432201484341,6.131650798073288,5.986606572164599,0,train
5.583510097104093,5.440944514628626,6.022462331962823,0,train
4.897366755212767,1.6793870563590336,10.187224388275375,0,train
3.1471587333609303,6.450607850699188,9.108037625051479,0,train
4.854161391804243,5.548669118729482,3.7462917926599095,0,train
10.999996697951342,1.6250737227463778,8.579477606515418,0,train
10.63394356250759,3.160014460475349,4.409773999930227,1,train
5.43647784320796,1.4448696986937661,4.578243782815994,0,train
