A,B,C,D,irrelevant_1,irrelevant_2,irrelevant_3,irrelevant_4,irrelevant_5,irrelevant_6,irrelevant_7,irrelevant_8,irrelevant_9,irrelevant_10,irrelevant_11,irrelevant_12,irrelevant_13,irrelevant_14,irrelevant_15,label,split
9.063754759543569,4.05244583376696,6.926520569341332,3.730577295122364,2.816168389039259,9.855486291425095,1.9004510717233802,7.687704420163405,9.43975137225555,6.421434164720363,6.926137364853229,5.6633245164164325,6.204391172416525,8.08217861156991,2.7435759456128315,0.3928712435212378,9.150351631625908,0.30597416757495055,0.5953483016944883,1,train
7.740679626297061,8.04511832953199,9.350170014688953,6.407843581383397,3.9287007272794847,9.129754374840019,0.4706715966460995,3.1170374185754977,4.791234900709771,9.082187411522103,9.633642295164467,4.28167065231433,2.331152391138472,9.136729482685427,2.2771928182056245,3.69043550024574,0.47639540796513113,9.5356931032693,7.474333878706139,1,train
2.9748102464647093,4.625969541348521,8.716837035804854,7.010729575938124,3.0472983910676623,2.786788082560032,9.97375042889847,4.6907781665378,7.7005084864015885,6.973106537225496,9.158548752914378,0.7780060402703304,8.936485977877128,8.08712979087812,2.612487735437441,8.557747854154629,3.115992436212811,2.9207929045570613,4.449586719776474,1,train
3.690301944082388,2.2278886729892373,4.886289094840276,8.361567587241131,1.4618897464491443,7.065946999954171,8.182714580190748,7.993138353370388,6.1322026606329665,6.163915822698826,0.8771807765023665,5.830535842033497,9.88392887509319,0.13977938637124154,9.261763965103869,0.14235725820653133,8.3794284570573,3.02537791018213,4.2749965572273,1,train
8.804547728002444,1.865131635410766,3.156215543488903,8.783567827308957,7.185337583789248,0.660209362402524,5.353402753417541,3.173820389850759,3.6336880914163014,7.099649822381089,2.7419385842097945,1.647046182687546,0.911551430365436,5.29343435649472,3.1440166741313815,7.6210990587162435,2.686209281911255,6.365713569303807,2.2816006533472413,0,train
6.0895361200866605,1.7543393089727044,6.906988698808924,7.70437873734029,7.924343373127311,7.123487927542752,8.760972648447673,9.160120320154471,0.8589306182334044,8.487298781057259,0.7048933531368751,6.637694675186858,9.838700108106641,3.4934496626500455,3.4223333328417893,2.078665884646238,5.461033743857336,5.81170442930614,5.909342547835744,0,train
2.4773823861161413,5.973439588813973,3.5848231842529463,5.72360693511318,8.493059794823585,2.40619343484488,2.83316063691296,2.04154101426632,7.981842073227811,0.9504508986550286,0.47695517091328354,6.376450035651208,5.8812180826646445,3.5572090921275414,3.308606280947042,3.9595148330265415,0.7210887579126768,2.222447839351637,7.909032197553384,0,train
2.522804665234228,8.017930091478286,2.7443608191688256,5.713329643366631,3.0659434539221198,9.314113729522632,4.340345739078259,7.38389628613211,1.9812468276009276,9.008237519659533,3.9430533311153146,2.392319666845013,7.514176747781546,7.544043364699848,0.4206919810123133,9.04245622966448,2.813155614246492,0.4596437637954942,2.4089950125009096,0,train
4.15942940232422,7.713383774273408,4.672591480200636,9.038657074672702,6.2445988476576,0.17701942010712735,6.2394577932241795,0.1023926159204569,4.823653915248171,0.9938121684726708,4.504103971493112,4.498105372219564,3.867797213007955,0.4500995282572706,6.67987891235588,6.978413956145291,6.449235543869294,6.293097046795419,2.182974219686633,1,train
5.333276756558105,4.251217132708865,3.4385407357640236,2.8485111227816873,6.408438650235181,9.13301796470543,5.3896812146373865,0.6192166849968728,8.25074833979604,3.9857714019047963,5.267049633496375,5.39258376306647,1.1847198569071216,8.961526845089733,8.01609454287289,3.6090385112013665,9.296775518904354,1.3458574976805815,8.642614365616417,0,train
