A,Spur_shortcut,B,label,split
-0.45786520633156297,-0.7745918210109156,-0.334389764491191,0,train
-0.622858682152086,-0.08530253882316596,-0.6543723356728994,0,train
0.1352900264295451,0.2853350318661936,0.07814535137726016,1,train
0.8439025938066932,1.3493922849225006,1.6108347954921969,1,train
-0.14849868815402095,-0.04870915245323609,0.10766121552320465,0,train
0.2624837818562643,0.5648349762721594,0.6162295782274049,1,train
0.5316680380506725,0.7374241843460878,2.1107997638474765,1,train
0.6898072998697508,-0.04015266027045572,0.9950639090413862,1,train
-0.8918986670310757,-0.2900669157460405,-1.4298656226157913,0,train
0.46882042432404647,0.07118565420158912,0.3870500641572617,1,train
-0.017787628450144886,-0.18377407236661508,0.6211662716556131,1,train
-0.6014296982866804,-0.5969182064739618,-1.7584263807060916,0,train
-0.6776350243759894,-0.34373593568413985,-1.0490583281586587,0,train
-0.22721533251618664,0.031115238810602658,-0.2880028516418721,0,train
-0.9935554043352895,-1.4674614917180326,-2.2419847403953765,0,train
-1.458902886878424,-1.3881366627626806,-2.1753306696227765,0,train
0.06375738341733587,-0.15113094481560946,-1.3005945266193661,0,train
0.774517824411565,0.36606748996685207,1.0327372381731474,1,train
-0.24113170847950005,-0.7230864655303859,-0.7813336183003252,0,train
0.7400468968032174,0.41697424610013456,1.4435488796209173,1,train
-0.39996560339599135,-0.45504994933841325,-0.7319046123152427,0,train
-0.9953597301049023,-0.34078626211757057,-1.3345967551631532,0,train
-1.5222306549620348,-1.5563552898435333,-2.1421385563804494,0,train
-0.8202514609608639,-0.9733838872973792,-0.04077258290982422,0,train
1.4532823877095238,0.6751720161520919,2.058571840298363,1,train
-0.2283907233683482,-0.24828216861484334,-0.2866104927291233,0,train
-1.8163856337142967,-0.8756746240556845,-2.911029954541057,0,train
-0.00127279949399943,-0.45595613004499597,0.14925658360751842,1,train
-0.38693111786862483,-0.5513472778197454,-0.0396736612385461,1,train
-0.474802142016079,-1.2584315104459365,-0.5888641087271885,0,train
-0.6405763516186039,-0.9585428182918996,-0.8463998953544107,0,train
-0.8452315515716969,-1.2201723355697005,-0.8056142260308181,0,train
